Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1181222652714.93,1143829832319.88,2134017843247.16,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875797463583.87,1961796197354.36,2085764300862.27,2001244392041.57
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592224067.37194,8985352831.94058,13220556882.7046,14444655299.8772,14807086889.2099,14262589157.7413,13897804560.3487,14187696311.3556,14075894320.3166,14806340821.0871,15713908816.1463,16458071067.8176
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3132817652848.04,4887519660744.86,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97,4922538141454.62,4866864409657.68,4954806619995.19,5081769542379.77
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4160003917.43258,8579280677.00987,26795901408.4507,29244647887.324,31371056338.0282,34064873239.4366,36329267605.6338,38043450704.2253,39196676056.338,40708943661.9718,42231295774.6479,43743661971.831
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932728898.8146,18291990619.137,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,166805800595.704,179339994859.384,180161741180.147
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572359162.85631,12705357103.0056,40000088346.8041,41953433591.4101,50412754861.0191,55096728047.9408,61448046801.6041,64007750169.3344,69188755364.2995,78965004656.1823,87778582964.1388,95503088538.092
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,39809538.6776989,67254174.3970315,156120895.248578,181705002.578649,190243321.598675,185113921.606488,179703443.302686,171117872.436331,178328873.030033,187276210.91355,196737895.995218,194647201.946472
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,283367525714.932,576178114168.494,1144066965324.49,1253223044718.99,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1720578827805.54,1642383217167.26
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,..,1849196082.05507,5835874320.56211,6701698218.26281,6499807272.26006,7074777526.896,7396705194.63266,6442915788.30578,6719172016.82533,7245707184.81699,7942961738.30893,7926108374.38424
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427777777.7778,37712842242.5033,115419399860.433,154068115942.029,174070382279.386,174161142454.161,162631412508.784,114567298105.683,109419728566.7,120707220573.689,140645364238.411,134761198945.982
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2675000000,1369688498.06778,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7702934800.12836,8271108638.39931,8454619607.81795
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.1639,1731198022.45494,7127792629.58294,8749241114.18913,10191350119.6808,11942230508.334,13268458231.9284,14390442307.3996,15805692545.8723,16853087485.4118,17953786416.1431,18173839128.2699
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,7934206257.24218,23803906230.7479,28490700600.9577,28176625841.4665,30272574650.3729,31382780146.4181,27090019662.7977,27734140217.3664,30273007510.3024,34313873284.5882,34117202555.0666
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485353.96187,17260364842.4544,38443907042.3217,39927125961.194,44035991745.6716,46909335135.1244,48134486624.6103,49939374832.7031,51205122503.8143,53140638269.1211,54961275741.5589,53367042272.1725
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,596415104.549144,887295267.875155,2269525782.39635,2622336141.14515,2526185310.32097,2421470021.68562,2499803980.17361,2372280099.24153,2165408361.59639,2405289382.35938,2575892261.32457,2460072443.62842
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,..,874000000,1998000000,2398000000,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000,3264000000,3070518100
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,28901836158.1921,38270206950.41,74773444900.5368,34699395523.6073,81873662518.8238,65502870173.7831,41142722414.3351,27842131479.8726,26197143268.1243,37883243650.452,52607888717.9487,52076250947.5792
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,1421466239.56234,2483953102.79488,5082366478.08994,5739977477.47748,5456009384.66461,6391735893.83968,6657170923.37918,6268391521.19701,6237264055.20601,6552858738.70214,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,..,11539211480.3625,37034461707.2874,43466133144.1699,42842537129.1154,46442055803.7018,48526000845.3102,41392396557.6337,43021972484.8299,47750908128.259,53455170033.5194,54219315600.0854
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,13229247947.8513,21263514833.2412,53212476812.2957,60004630234.4135,56677961787.0717,61739352212.3049,66103853236.7572,57744457954.7297,60691483443.1221,64181944722.7283,70919958015.5247,71104919108.1411
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,3220920084.77746,6720492405.83611,28123640998.7253,36709860068.3445,43031577366.4251,51552075901.5183,55347998647.8196,45361678146.5247,45387299721.0792,50751059058.0613,55084050789.7182,53859116535.5306
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,3931334870.74964,4629247090.97816,9982711030.26388,11551821062.3334,11578978052.8789,12423557906.9182,12522959157.2295,11323023786.5698,11848615018.4138,13176313233.1978,13853433947.6241,14083906356.618
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,1880771556.30474,1743506531.32652,6959655570.89098,8004000737.30717,6028487928.83351,5518880768.57955,6047813437.31804,6373212640.84604,5433040159.88747,6303292264.18905,6917301908.62757,7666704427.00915
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,44024178343.0071,93789736842.1053,255016609232.871,297951960784.314,314443149443.149,323277158906.979,338061963396.376,301354756113.174,301255454041.415,318958236443.122,358581943446.259,364701517787.844
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,215089005.235602,624337145.284622,2588176054.6875,2774351760.03287,2886170571.69634,3295011381.75405,3697351596.83753,4109424799.72407,4379136461.83077,4735989972.05433,5327457149.72581,5729248472.24028
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,2681912030.49384,2954129565.82965,10689167195.3375,12995074801.061,12441946098.4018,13242680701.3566,14365345530.0146,13104869674.2274,14020002871.0282,15375605991.6302,17172022684.31,17510141171.3403
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,2547163582.33149,4053395700.56829,8749171417.20801,9515297914.81069,9205506528.33098,10153894646.0353,11302344157.0347,10682394998.3357,11444483133.7171,12747857570.0407,14603581712.3288,14786156563.3046
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,78476000,115347500,162164700,174332100,182874800,187707400,184689500,184599600,200558400,212881000,221278000,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,1506914407.82331,1779521109.91268,5628882266.37767,6764635686.79345,6728208836.22143,7223063169.72749,6592537781.81518,6166857628.62212,6398744505.08129,6758390728.71734,7049169770.86399,7593752450.2055
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,2653480001.34558,4663313620.01707,10003670690.3497,11518393367.2403,11668685524.1265,12129642296.4425,12803445933.5894,11692287066.381,12232463655.5727,13259351418.4459,14181803715.4038,14180444557.2047
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,261253582805.945,707906744574.644,1057801295584.05,1180489601957.61,1201089987015.45,1274443084716.57,1314563967425.24,1170564619927.69,1077903618176.07,1157736189998.15,1220699479845.98,1258286717124.53
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,147200000,233271800,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,..
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,..,1288429391.79951,6974960345.3712,8414360656.29632,8709165249.26928,9496684701.43325,9510219299.49557,7745231660.33425,8071480540.86068,9669759987.02633,11457410264.1932,11955435456.7957
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,2481316053.85316,2647883815.57966,5367625613.15127,6088808463.25167,5743029680.07195,6555983530.34932,7069616048.89066,6261622101.40908,6472990923.1791,6431314957.07185,7188238072.74445,..
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,2560785660,1136896123.61298,7189481824.07288,10409797649.3063,12292770631.1967,12582122604.1921,12226514722.0861,11749620619.5962,11186734674.3847,11425755279.5254,13108769495.7425,13852850259.4854
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,..,984297589.359934,4139192052.98013,4538199888.79622,4087725812.66864,4466039314.65002,4594024179.62003,4054712082.54743,4377033429.26721,4856632399.45775,5506766650.92111,5494736901.03
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,30180108561.9305,38857251336.3448,93216746661.5977,101370474295.109,98266306615.3632,106825649872.108,110081248587.369,101179808076.36,103311649248.024,109714300453.983,117921394402.361,118725279596.13
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,..,5553894130.24062,11087646867.9421,14381552432.9494,16350804543.0515,16974320551.0213,17716084107.5888,15950969018.9458,11936999283.1791,13219084261.3664,14717223206.9,14934159925.5234
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,..,8905066163.58643,49540813342.4834,59977326085.9908,59937797559.3295,60269734044.526,65446199787.8425,67822772707.1034,67184236746.5694,68945867477.6054,76168043981.5932,76085852617.1371
