CD_RGN_REFNIS;MONTH;YEAR;CD_AGE;MS_SEX_;CHAP_COD;COUNT
02000;1;2012;75-84;F;R00-R99;37
02000;1;2012;75-84;F;V01-Y98;33
02000;1;2012;75-84;M;A00-B99;26
02000;1;2012;75-84;M;C00-D48;275
02000;1;2012;75-84;M;E00-E90;23
02000;1;2012;75-84;M;F00-F99;38
02000;1;2012;75-84;M;G00-G99;44
02000;1;2012;75-84;M;I00-I99;304
02000;1;2012;75-84;M;J00-J99;142
02000;1;2012;75-84;M;K00-K93;27
02000;1;2012;75-84;M;L00-L99;2
02000;1;2012;75-84;M;M00-M99;4
02000;1;2012;75-84;M;N00-N99;18
02000;1;2012;75-84;M;R00-R99;22
02000;1;2012;75-84;M;V01-Y98;36
02000;1;2012;85+;F;A00-B99;29
02000;1;2012;85+;F;C00-D48;140
02000;1;2012;85+;F;D50-D89;4
02000;1;2012;85+;F;E00-E90;37
02000;1;2012;85+;F;F00-F99;93
02000;1;2012;85+;F;G00-G99;69
02000;1;2012;85+;F;I00-I99;563
02000;1;2012;85+;F;J00-J99;160
02000;1;2012;85+;F;K00-K93;61
02000;1;2012;85+;F;L00-L99;2
02000;1;2012;85+;F;M00-M99;8
02000;1;2012;85+;F;N00-N99;37
02000;1;2012;85+;F;Q00-Q99;1
02000;1;2012;85+;F;R00-R99;107
02000;1;2012;85+;F;V01-Y98;47
02000;1;2012;85+;M;A00-B99;19
02000;1;2012;85+;M;C00-D48;133
02000;1;2012;85+;M;D50-D89;7
02000;1;2012;85+;M;E00-E90;13
02000;1;2012;85+;M;F00-F99;37
02000;1;2012;85+;M;G00-G99;29
02000;1;2012;85+;M;I00-I99;274
02000;1;2012;85+;M;J00-J99;125
02000;1;2012;85+;M;K00-K93;20
02000;1;2012;85+;M;M00-M99;2
02000;1;2012;85+;M;N00-N99;26
02000;1;2012;85+;M;R00-R99;49
02000;1;2012;85+;M;V01-Y98;29
02000;1;2013;0-24;F;C00-D48;2
02000;1;2013;0-24;F;G00-G99;2
02000;1;2013;0-24;F;P00-P96;5
02000;1;2013;0-24;F;Q00-Q99;6
02000;1;2013;0-24;F;R00-R99;2
02000;1;2013;0-24;F;V01-Y98;6
02000;1;2013;0-24;M;A00-B99;1
02000;1;2013;0-24;M;C00-D48;2
02000;1;2013;0-24;M;E00-E90;1
02000;1;2013;0-24;M;F00-F99;1
02000;1;2013;0-24;M;G00-G99;2
02000;1;2013;0-24;M;I00-I99;1
02000;1;2013;0-24;M;J00-J99;2
02000;1;2013;0-24;M;K00-K93;1
02000;1;2013;0-24;M;P00-P96;4
02000;1;2013;0-24;M;Q00-Q99;8
02000;1;2013;0-24;M;V01-Y98;12
02000;1;2013;25-44;F;C00-D48;13
02000;1;2013;25-44;F;I00-I99;5
02000;1;2013;25-44;F;J00-J99;1
02000;1;2013;25-44;F;Q00-Q99;1
02000;1;2013;25-44;F;R00-R99;2
02000;1;2013;25-44;F;V01-Y98;10
02000;1;2013;25-44;M;C00-D48;20
02000;1;2013;25-44;M;E00-E90;2
02000;1;2013;25-44;M;F00-F99;2
02000;1;2013;25-44;M;G00-G99;1
02000;1;2013;25-44;M;I00-I99;10
02000;1;2013;25-44;M;J00-J99;1
02000;1;2013;25-44;M;K00-K93;5
02000;1;2013;25-44;M;Q00-Q99;1
02000;1;2013;25-44;M;R00-R99;4
02000;1;2013;25-44;M;V01-Y98;39
02000;1;2013;45-64;F;A00-B99;1
02000;1;2013;45-64;F;C00-D48;159
02000;1;2013;45-64;F;D50-D89;1
02000;1;2013;45-64;F;E00-E90;4
02000;1;2013;45-64;F;F00-F99;1
02000;1;2013;45-64;F;G00-G99;7
